,OpponentId,winner_rank,T_2nd_ad_%ServesWon,M_2nd_ad_%ServesWon,W_2nd_ad_%ServesWon,T_2nd_d_%ServesWon,M_2nd_d_%ServesWon,W_2nd_d_%ServesWon
31,KE29,18.0,100.0,50.0,0.0,75.0,0.0,100.0
32,MM58,7.0,66.7,66.7,66.7,20.0,20.0,20.0
33,MM58,7.0,60.0,66.7,63.6,60.0,50.0,85.7
34,MM58,7.0,50.0,50.0,53.3,64.7,55.6,70.0
35,N289,40.0,40.0,33.3,100.0,14.3,25.0,0.0
36,N552,21.5,56.0,46.7,46.7,53.8,47.1,47.1
37,N552,21.5,56.2,90.0,50.0,50.0,45.5,42.9
38,N552,21.5,7.7,40.0,0.0,33.3,33.3,14.3
39,PD31,47.0,41.2,25.0,50.0,0.0,60.0,38.5
40,Q927,32.0,25.0,0.0,50.0,42.9,66.7,100.0
41,Q927,32.0,50.0,0.0,33.3,25.0,50.0,55.6
43,RE44,8.0,0.0,50.0,50.0,36.4,33.3,33.3
44,b747,88.0,10.0,100.0,0.0,50.0,20.0,44.4
45,c977,8.0,0.0,36.4,70.0,45.5,37.5,100.0
46,c977,8.0,62.5,75.0,75.0,60.0,40.0,40.0
47,c977,8.0,22.2,0.0,100.0,50.0,50.0,50.0
48,c977,8.0,54.5,20.0,0.0,42.9,25.0,55.6
49,c977,8.0,50.0,50.0,50.0,25.0,25.0,66.7
50,cf01,72.0,0.0,66.7,50.0,0.0,100.0,50.0
51,d402,6.0,66.7,50.0,50.0,0.0,0.0,100.0
52,d683,43.5,0.0,60.0,100.0,38.5,44.4,0.0
53,d683,43.5,0.0,66.7,35.7,45.5,50.0,0.0
54,d683,43.5,68.8,14.3,0.0,100.0,33.3,80.0
55,d683,43.5,17.6,39.3,50.0,66.7,45.0,36.4
56,d875,28.0,66.7,33.3,100.0,69.6,0.0,100.0
57,d875,28.0,0.0,100.0,0.0,83.3,0.0,0.0
58,d875,28.0,55.0,46.2,33.3,42.9,56.2,88.9
59,d875,28.0,37.5,0.0,0.0,0.0,0.0,0.0
60,da81,109.0,0.0,66.7,40.0,42.9,64.3,0.0
61,e831,22.0,100.0,61.5,22.2,50.0,72.7,0.0
62,e831,22.0,50.0,100.0,75.0,66.7,28.6,0.0
63,e831,22.0,100.0,0.0,44.4,70.6,66.7,0.0
64,e831,22.0,0.0,37.5,37.5,0.0,60.0,60.0
65,f401,18.6,0.0,66.7,100.0,0.0,33.3,0.0
66,f401,18.6,26.7,40.0,100.0,75.0,50.0,37.5
67,f401,18.6,66.7,50.0,100.0,0.0,50.0,42.9
68,f401,18.6,0.0,50.0,100.0,100.0,25.0,42.9
69,g628,8.0,37.5,0.0,100.0,0.0,100.0,25.0
70,g628,8.0,83.3,50.0,100.0,33.3,0.0,43.8
71,gb88,13.0,0.0,58.3,53.8,42.9,42.9,100.0
72,gb88,13.0,42.9,75.0,75.0,57.1,44.4,44.4
73,gb88,13.0,70.0,50.0,0.0,50.0,66.7,40.0
74,gb88,13.0,57.1,50.0,0.0,0.0,0.0,33.3
75,h355,31.0,0.0,25.0,80.0,100.0,100.0,66.7
76,h355,31.0,33.3,0.0,100.0,0.0,20.0,0.0
77,i165,117.0,100.0,75.0,50.0,36.4,20.0,0.0
78,i186,16.5,0.0,0.0,66.7,100.0,100.0,0.0
79,i186,16.5,55.6,27.3,0.0,0.0,40.0,38.5
80,i186,16.5,46.2,100.0,0.0,66.7,66.7,30.8
81,i186,16.5,45.5,36.4,0.0,0.0,77.8,66.7
82,i186,16.5,72.7,14.3,100.0,0.0,25.0,72.7
83,ke17,16.5,0.0,100.0,100.0,83.3,100.0,50.0
84,l397,24.0,0.0,50.0,100.0,50.0,0.0,100.0
85,l397,24.0,57.1,50.0,50.0,100.0,35.7,35.7
86,l397,24.0,63.6,50.0,0.0,100.0,25.0,100.0
87,mc10,4.2727272727272725,58.8,16.7,16.7,40.0,55.6,55.6
88,mc10,4.2727272727272725,47.4,55.6,50.0,42.9,60.0,43.3
89,mc10,4.2727272727272725,58.8,33.3,0.0,20.0,71.4,62.5
90,mc10,4.2727272727272725,50.0,61.5,60.0,25.0,40.0,55.6
91,n409,2.1379310344827585,0.0,66.7,66.7,42.9,42.9,42.9
92,n409,2.1379310344827585,100.0,100.0,0.0,25.0,33.3,50.0
93,n409,2.1379310344827585,0.0,100.0,50.0,70.0,0.0,0.0
94,n409,2.1379310344827585,50.0,0.0,66.7,66.7,100.0,0.0
95,n409,2.1379310344827585,75.0,40.0,40.0,100.0,50.0,50.0
96,n409,2.1379310344827585,76.9,66.7,50.0,0.0,25.0,40.0
97,n409,2.1379310344827585,53.8,28.6,0.0,0.0,77.8,50.0
98,n409,2.1379310344827585,63.6,40.0,50.0,100.0,55.6,28.6
99,n409,2.1379310344827585,66.7,40.0,100.0,0.0,44.4,80.0
100,r419,20.5,50.0,76.9,0.0,50.0,77.8,33.3
